Purchase_Order_Id,Emp_Id,Supplier,Order_Date,Expected_Delivery_Date,Status
1,EMP07,,1/8/2018,6/8/2018,
2,EMP01,,1/8/2018,6/8/2018,
3,EMP07,,1/8/2018,6/8/2018,
4,EMP08,,1/8/2018,6/8/2018,
5,EMP05,,1/8/2018,6/8/2018,
6,EMP08,,1/8/2018,6/8/2018,
7,EMP04,,1/8/2018,6/8/2018,
8,EMP01,,1/8/2018,6/8/2018,
9,EMP08,,1/8/2018,6/8/2018,
10,EMP03,,1/8/2018,6/8/2018,
11,EMP05,,1/8/2018,6/8/2018,
12,EMP06,,1/8/2018,6/8/2018,
13,EMP06,,1/8/2018,6/8/2018,
14,EMP03,,2/8/2018,7/8/2018,
15,EMP07,,2/8/2018,7/8/2018,
16,EMP01,,2/8/2018,7/8/2018,
17,EMP07,,2/8/2018,7/8/2018,
18,EMP01,,2/8/2018,7/8/2018,
19,EMP04,,2/8/2018,7/8/2018,
20,EMP08,,2/8/2018,7/8/2018,
21,EMP07,,2/8/2018,7/8/2018,
22,EMP08,,2/8/2018,7/8/2018,
23,EMP07,,2/8/2018,7/8/2018,
24,EMP02,,3/8/2018,8/8/2018,
25,EMP08,,3/8/2018,8/8/2018,
26,EMP01,,3/8/2018,8/8/2018,
27,EMP03,,3/8/2018,8/8/2018,
28,EMP01,,3/8/2018,8/8/2018,
29,EMP05,,3/8/2018,8/8/2018,
30,EMP03,,3/8/2018,8/8/2018,
31,EMP05,,3/8/2018,8/8/2018,
32,EMP05,,3/8/2018,8/8/2018,
33,EMP06,,3/8/2018,8/8/2018,
34,EMP05,,3/8/2018,8/8/2018,
35,EMP08,,3/8/2018,8/8/2018,
36,EMP08,,3/8/2018,8/8/2018,
37,EMP02,,3/8/2018,8/8/2018,
38,EMP07,,3/8/2018,8/8/2018,
39,EMP01,,3/8/2018,8/8/2018,
40,EMP05,,4/8/2018,9/8/2018,
41,EMP02,,4/8/2018,9/8/2018,
42,EMP03,,4/8/2018,9/8/2018,
43,EMP05,,4/8/2018,9/8/2018,
44,EMP08,,4/8/2018,9/8/2018,
45,EMP05,,4/8/2018,9/8/2018,
46,EMP04,,4/8/2018,9/8/2018,
47,EMP07,,4/8/2018,9/8/2018,
48,EMP06,,4/8/2018,9/8/2018,
49,EMP03,,4/8/2018,9/8/2018,
50,EMP03,,4/8/2018,9/8/2018,
51,EMP01,,4/8/2018,9/8/2018,
52,EMP08,,4/8/2018,9/8/2018,
53,EMP02,,4/8/2018,9/8/2018,
54,EMP01,,5/8/2018,10/8/2018,
55,EMP03,,5/8/2018,10/8/2018,
56,EMP01,,5/8/2018,10/8/2018,
57,EMP01,,5/8/2018,10/8/2018,
58,EMP01,,5/8/2018,10/8/2018,
59,EMP08,,5/8/2018,10/8/2018,
60,EMP07,,5/8/2018,10/8/2018,
61,EMP07,,5/8/2018,10/8/2018,
62,EMP01,,6/8/2018,11/8/2018,
63,EMP03,,6/8/2018,11/8/2018,
64,EMP03,,6/8/2018,11/8/2018,
65,EMP08,,6/8/2018,11/8/2018,
66,EMP02,,6/8/2018,11/8/2018,
67,EMP08,,6/8/2018,11/8/2018,
68,EMP05,,6/8/2018,11/8/2018,
69,EMP03,,6/8/2018,11/8/2018,
70,EMP04,,6/8/2018,11/8/2018,
71,EMP03,,6/8/2018,11/8/2018,
72,EMP01,,6/8/2018,11/8/2018,
73,EMP08,,6/8/2018,11/8/2018,
74,EMP05,,7/8/2018,12/8/2018,
75,EMP01,,7/8/2018,12/8/2018,
76,EMP08,,7/8/2018,12/8/2018,
77,EMP07,,7/8/2018,12/8/2018,
78,EMP04,,7/8/2018,12/8/2018,
79,EMP03,,7/8/2018,12/8/2018,
80,EMP02,,7/8/2018,12/8/2018,
81,EMP03,,7/8/2018,12/8/2018,
82,EMP04,,7/8/2018,12/8/2018,
83,EMP03,,7/8/2018,12/8/2018,
84,EMP01,,7/8/2018,12/8/2018,
85,EMP08,,8/8/2018,13/8/2018,
86,EMP07,,8/8/2018,13/8/2018,
87,EMP07,,8/8/2018,13/8/2018,
88,EMP05,,8/8/2018,13/8/2018,
89,EMP03,,8/8/2018,13/8/2018,
90,EMP08,,8/8/2018,13/8/2018,
91,EMP02,,8/8/2018,13/8/2018,
92,EMP05,,8/8/2018,13/8/2018,
93,EMP01,,8/8/2018,13/8/2018,
94,EMP08,,8/8/2018,13/8/2018,
95,EMP01,,8/8/2018,13/8/2018,
96,EMP04,,8/8/2018,13/8/2018,
97,EMP08,,9/8/2018,14/8/2018,
98,EMP02,,9/8/2018,14/8/2018,
99,EMP02,,9/8/2018,14/8/2018,
100,EMP05,,9/8/2018,14/8/2018,
101,EMP04,,9/8/2018,14/8/2018,
102,EMP03,,9/8/2018,14/8/2018,
103,EMP07,,9/8/2018,14/8/2018,
104,EMP01,,9/8/2018,14/8/2018,
105,EMP02,,9/8/2018,14/8/2018,
106,EMP07,,9/8/2018,14/8/2018,
107,EMP01,,9/8/2018,14/8/2018,
108,EMP03,,9/8/2018,14/8/2018,
109,EMP01,,9/8/2018,14/8/2018,
110,EMP01,,9/8/2018,14/8/2018,
111,EMP03,,9/8/2018,14/8/2018,
112,EMP03,,10/8/2018,15/8/2018,
113,EMP08,,10/8/2018,15/8/2018,
114,EMP07,,10/8/2018,15/8/2018,
115,EMP08,,10/8/2018,15/8/2018,
116,EMP04,,10/8/2018,15/8/2018,
117,EMP04,,10/8/2018,15/8/2018,
118,EMP03,,10/8/2018,15/8/2018,
119,EMP08,,10/8/2018,15/8/2018,
120,EMP08,,10/8/2018,15/8/2018,
121,EMP06,,10/8/2018,15/8/2018,
122,EMP08,,11/8/2018,16/8/2018,
123,EMP02,,11/8/2018,16/8/2018,
124,EMP03,,11/8/2018,16/8/2018,
125,EMP07,,11/8/2018,16/8/2018,
126,EMP05,,11/8/2018,16/8/2018,
127,EMP04,,11/8/2018,16/8/2018,
128,EMP05,,11/8/2018,16/8/2018,
129,EMP06,,11/8/2018,16/8/2018,
130,EMP03,,11/8/2018,16/8/2018,
131,EMP01,,12/8/2018,17/8/2018,
132,EMP01,,12/8/2018,17/8/2018,
133,EMP04,,12/8/2018,17/8/2018,
134,EMP03,,12/8/2018,17/8/2018,
135,EMP08,,12/8/2018,17/8/2018,
136,EMP08,,12/8/2018,17/8/2018,
137,EMP02,,12/8/2018,17/8/2018,
138,EMP04,,12/8/2018,17/8/2018,
139,EMP03,,12/8/2018,17/8/2018,
140,EMP02,,12/8/2018,17/8/2018,
141,EMP07,,12/8/2018,17/8/2018,
142,EMP03,,12/8/2018,17/8/2018,
143,EMP01,,12/8/2018,17/8/2018,
144,EMP07,,13/8/2018,18/8/2018,
145,EMP07,,13/8/2018,18/8/2018,
146,EMP04,,13/8/2018,18/8/2018,
147,EMP03,,13/8/2018,18/8/2018,
148,EMP01,,13/8/2018,18/8/2018,
149,EMP08,,13/8/2018,18/8/2018,
150,EMP01,,13/8/2018,18/8/2018,
151,EMP08,,13/8/2018,18/8/2018,
152,EMP07,,13/8/2018,18/8/2018,
153,EMP05,,13/8/2018,18/8/2018,
154,EMP01,,13/8/2018,18/8/2018,
155,EMP07,,13/8/2018,18/8/2018,
156,EMP01,,13/8/2018,18/8/2018,
157,EMP01,,13/8/2018,18/8/2018,
158,EMP01,,14/8/2018,19/8/2018,
159,EMP06,,14/8/2018,19/8/2018,
160,EMP08,,14/8/2018,19/8/2018,
161,EMP01,,14/8/2018,19/8/2018,
162,EMP06,,14/8/2018,19/8/2018,
163,EMP03,,14/8/2018,19/8/2018,
164,EMP06,,14/8/2018,19/8/2018,
165,EMP08,,14/8/2018,19/8/2018,
166,EMP04,,14/8/2018,19/8/2018,
