Purchase_Order_Details_Id,Purchase_Order_Id,Item_Num,Quantity
1,1,C001,94
2,1,P037,57
3,1,F020,23
4,1,T001,95
5,1,P016,38
6,2,C002,16
7,2,P038,76
8,2,F021,72
9,2,T002,57
10,2,P020,91
11,3,C003,23
12,3,P039,44
13,3,F022,59
14,3,T003,35
15,3,P021,41
16,4,C004,63
17,4,P040,93
18,4,F023,98
19,4,T020,51
20,4,P030,14
21,5,C005,19
22,5,P041,34
23,5,F024,78
24,5,T021,88
25,5,P031,99
26,6,C006,23
27,6,P042,81
28,6,F031,50
29,6,T022,58
30,6,P032,78
31,7,E001,57
32,7,P043,93
33,7,F032,28
34,7,T023,83
35,7,P033,62
36,8,E002,73
37,8,P044,16
38,8,F033,25
39,8,T024,28
40,8,P034,78
41,9,E003,48
42,9,P045,35
43,9,F034,12
44,9,T025,90
45,9,P035,85
46,10,E004,72
47,10,P046,42
48,10,F035,95
49,10,T100,75
50,10,P036,58
51,11,E005,91
52,11,R001,95
53,11,H011,79
54,11,C001,81
55,11,P037,78
56,12,E006,58
57,12,R002,38
58,12,H012,98
59,12,C002,35
60,12,P038,33
61,13,E007,60
62,13,S010,88
63,13,H013,46
64,13,C003,30
65,13,P039,24
66,14,E008,13
67,14,S011,13
68,14,H014,76
69,14,C004,38
70,14,P040,72
71,15,E020,56
72,15,S012,70
73,15,H031,20
74,15,C005,30
75,15,P041,43
76,16,E021,21
77,16,S020,55
78,16,H032,16
79,16,C006,100
80,16,P042,92
81,17,E030,82
82,17,S021,93
83,17,H033,13
84,17,E001,64
85,17,P043,81
86,18,E031,78
87,18,S022,60
88,18,P010,73
89,18,E002,12
90,18,P044,48
91,19,E032,75
92,19,S023,73
93,19,P011,32
94,19,E003,23
95,19,P045,88
96,20,E033,20
97,20,S040,29
98,20,P012,82
99,20,E004,64
100,20,P046,70
101,21,E034,80
102,21,S041,51
103,21,P013,65
104,21,E005,14
105,21,R001,95
106,22,E035,55
107,22,S100,20
108,22,P014,26
109,22,E006,41
110,22,R002,24
111,23,E036,25
112,23,S101,63
113,23,P015,64
114,23,E007,12
115,23,S010,39
116,24,F020,79
117,24,T001,18
118,24,P016,71
119,24,E008,39
120,24,S011,31
121,25,F021,17
122,25,T002,81
123,25,P020,16
124,25,E020,48
125,25,S012,23
126,26,F022,19
127,26,T003,13
128,26,P021,34
129,26,E021,78
130,26,S020,22
131,27,F023,61
132,27,T020,93
133,27,P030,73
134,27,E030,69
135,27,S021,84
136,28,F024,32
137,28,T021,93
138,28,P031,50
139,28,E031,21
140,28,S022,30
141,29,F031,27
142,29,T022,14
143,29,P032,73
144,29,E032,44
145,29,S023,86
146,30,F032,30
147,30,T023,51
148,30,P033,74
149,30,E033,82
150,30,S040,92
151,31,F033,56
152,31,T024,21
153,31,P034,11
154,31,E034,49
155,31,S041,95
156,32,F034,10
157,32,T025,24
158,32,P035,10
159,32,E035,27
160,32,S100,32
161,33,F035,49
162,33,T100,69
163,33,P036,100
164,33,E036,90
165,33,S101,92
166,34,H011,44
167,34,C001,51
168,34,P037,53
169,34,F020,77
170,34,T001,12
171,35,H012,71
172,35,C002,56
173,35,P038,25
174,35,F021,18
175,35,T002,10
176,36,H013,61
177,36,C003,98
178,36,P039,60
179,36,F022,51
180,36,T003,100
181,37,H014,72
182,37,C004,13
183,37,P040,53
184,37,F023,77
185,37,T020,68
186,38,H031,91
187,38,C005,96
188,38,P041,61
189,38,F024,37
190,38,T021,56
191,39,H032,41
192,39,C006,69
193,39,P042,11
194,39,F031,33
195,39,T022,60
196,40,H033,64
197,40,E001,34
198,40,P043,32
199,40,F032,55
200,40,T023,49
201,41,P010,100
202,41,E002,63
203,41,P044,74
204,41,F033,69
205,41,T024,71
206,42,P011,25
207,42,E003,37
208,42,P045,96
209,42,F034,69
210,42,T025,89
211,43,P012,98
212,43,E004,85
213,43,P046,16
214,43,F035,78
215,43,T100,56
216,44,P013,63
217,44,E005,50
218,44,R001,59
219,44,H011,11
220,44,C001,46
221,45,P014,25
222,45,E006,67
223,45,R002,23
224,45,H012,35
225,45,C002,37
226,46,P015,88
227,46,E007,49
228,46,S010,42
229,46,H013,53
230,46,C003,59
231,47,P016,60
232,47,E008,65
233,47,S011,67
234,47,H014,47
235,47,C004,80
236,48,P020,41
237,48,E020,60
238,48,S012,67
239,48,H031,73
240,48,C005,34
241,49,P021,48
242,49,E021,34
243,49,S020,77
244,49,H032,76
245,49,C006,88
246,50,P030,89
247,50,E030,33
248,50,S021,25
249,50,H033,78
250,50,E001,86
251,51,P031,73
252,51,E031,68
253,51,S022,88
254,51,P010,30
255,51,E002,87
256,52,P032,74
257,52,E032,73
258,52,S023,78
259,52,P011,48
260,52,E003,64
261,53,P033,61
262,53,E033,96
263,53,S040,93
264,53,P012,99
265,53,E004,78
266,54,P034,47
267,54,E034,38
268,54,S041,10
269,54,P013,26
270,54,E005,71
271,55,P035,31
272,55,E035,49
273,55,S100,45
274,55,P014,32
275,55,E006,94
276,56,P036,51
277,56,E036,86
278,56,S101,29
279,56,P015,27
280,56,E007,43
281,57,P037,87
282,57,F020,97
283,57,T001,92
284,57,P016,47
285,57,E008,70
286,58,P038,76
287,58,F021,80
288,58,T002,82
289,58,P020,23
290,58,E020,13
291,59,P039,11
292,59,F022,91
293,59,T003,58
294,59,P021,40
295,59,E021,47
296,60,P040,99
297,60,F023,75
298,60,T020,41
299,60,P030,52
300,60,E030,53
301,61,P041,26
302,61,F024,82
303,61,T021,85
304,61,P031,59
305,61,E031,40
306,62,P042,27
307,62,F031,37
308,62,T022,31
309,62,P032,44
310,62,E032,86
311,63,P043,17
312,63,F032,52
313,63,T023,90
314,63,P033,41
315,63,E033,80
316,64,P044,86
317,64,F033,78
318,64,T024,36
319,64,P034,86
320,64,E034,13
321,65,P045,73
322,65,F034,46
323,65,T025,22
324,65,P035,12
325,65,E035,46
326,66,P046,16
327,66,F035,28
328,66,T100,61
329,66,P036,18
330,66,E036,29
331,67,R001,93
332,67,H011,71
333,67,C001,39
334,67,P037,39
335,67,F020,54
336,68,R002,87
337,68,H012,14
338,68,C002,82
339,68,P038,27
340,68,F021,97
341,69,S010,41
342,69,H013,92
343,69,C003,96
344,69,P039,100
345,69,F022,29
346,70,S011,68
347,70,H014,74
348,70,C004,99
349,70,P040,46
350,70,F023,48
351,71,S012,32
352,71,H031,27
353,71,C005,14
354,71,P041,86
355,71,F024,95
356,72,S020,82
357,72,H032,12
358,72,C006,81
359,72,P042,61
360,72,F031,42
361,73,S021,75
362,73,H033,78
363,73,E001,40
364,73,P043,95
365,73,F032,12
366,74,S022,77
367,74,P010,61
368,74,E002,33
369,74,P044,38
370,74,F033,23
371,75,S023,87
372,75,P011,39
373,75,E003,93
374,75,P045,98
375,75,F034,41
376,76,S040,26
377,76,P012,50
378,76,E004,20
379,76,P046,32
380,76,F035,84
381,77,S041,32
382,77,P013,86
383,77,E005,22
384,77,R001,78
385,77,H011,46
386,78,S100,60
387,78,P014,40
388,78,E006,96
389,78,R002,34
